//Some "special" money changes may be handled elsewhere
//money change, piece movement, text on the card
COMMUNITY CHEST
+200,	move to go,	"Advance to go (Collect $200)"
+200,	don't move,	"Bank error in your favor - Collect $200"
-50,	don't move,	"Doctor's fees - Pay $50"
+50,	don't move,	"From sale of stock you got $50"
+0,   don't move,	"Get Out of Jail Free - This card may be kept until needed or sold"
+0,   move to jail,	"Go to Jail - Go directly to jail - Do not pass Go - Do not collect $200"
+50n,	don't move,	"Grand Opera Night - Collect $50 from every player for opening night seats"
+100,	don't move,	"Holiday Fund matures - Receive $100"
+20,	don't move,	"Income tax refund - Collect $20"
+10n,	don't move,	"It's your birthday! - Collect $10 from each player"
+100,	don't move,	"Life insurance matures - Collect $100"
-100,	don't move,	"Pay hospital fees of $100"
-150,	don't move,	"Pay school fess of $150"
+25,	don't move,	"Receive $25 consultancy fee"
special,don't move,	"You are assessed for street repairs - pay $40 per house $115 per hotel"
+10,	don't move,	"You have won second prize in a beauty contest - Collect $10"
+100,	don't move,	"You inherit $100"
CHANCE
+200,	move to go,	"Advance to Go (Collect $200)"
+go,	move to Illinois Avenue, "Advance to Illinois Ave. - If you pass Go, collect $200"
+go,	move to St. Charles Place, "Advance to St. Charles Place - If you pass go, collect $200"
special,move to nearest utility, "Advance to nearest Utility. If unowned, you may buy it from the Bank. If owned, throw dice and pay owner a total tne times the amount thrown"
special,move to nearest railroad, "Advance to nearest Railraod and pay owner twice the rental. If unowned, you may buy it from the Bank.
+50,	don't move,	"Bank pays you dividend of $50"
+0,	don't move,	"Get Out of Jail Free"
+0,	move 3 spaces back, "Go back 3 spaces"
+0,	move to jail,	"Go directly to jail - Do not pass Go, do not collect $200"
special, don't move, "Make general repairs on all your property - For each house pay $25 - For each hotel $100"
-15,	don't move,	"Pay poor tax of $15"
+go,	move to Reading Railroad, "Take a trip to Reading Railroad - If you pass Go, Collect $200"
+go,	move to Boardwalk, "Advance token to Boardwalk - If you pass Go, collect $200"
-50n,	don't move,	"You have been elected Chairman of the Board - Pay each player $50"
+150,	don't move,	"Your building loan matures - Collect $150"
+100,	don't move,	"You have won a crossword competition - Collect $100"
